Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
Desert,Methyl jasmonate,19,156,24,4.64,18.3,59.93388102,4
,,,,,,,,
Desert,Methyl jasmonate,19,156,23,2.98,,66.82058525,3
,,,,,,,,
Desert,Methyl jasmonate,19,156,,,,,
,,,,,,,,
Desert,Methyl jasmonate,19,157,25,1.62,,,3
,,,,,,,,
Desert,Methyl jasmonate,19,157,24,2.36,5.42,,4
,,,,,,,,
Desert,Methyl jasmonate,19,157,24,4.01,11.31,,4
,,,,,,,,
Desert,Methyl jasmonate,20,158,24,4.69,21.32,68.72955289,3
,,,,,,,,
Desert,Methyl jasmonate,20,158,27,4.08,16.65,51.1591542,3
,,,,,,,,
Desert,Methyl jasmonate,20,158,33,4.12,13.96,63.57063756,4
,,,,,,,,
Desert,Methyl jasmonate,20,159,,3.34,15.25,46.33872094,4
,,,,,,,,
Desert,Methyl jasmonate,20,159,,3,10.28,44.6690112,4
,,,,,,,,
Desert,Methyl jasmonate,20,159,,3.15,,63.87434555,4
,,,,,,,,
Desert,Methyl jasmonate,20,160,36,5.12,11.31,,4
,,,,,,,,
Desert,Methyl jasmonate,20,160,26,3.82,15.62,,5
,,,,,,,,
Desert,Methyl jasmonate,20,160,39,5.65,22.64,,3
,,,,,,,,
Med,Control,21,161,33,5.39,,35.14328808,2
,,,,,,,,
Med,Control,21,161,29,5.95,,39.61605585,1
,,,,,,,,
Med,Control,21,161,33,7.89,,,3
,,,,,,,,
Med,Control,21,162,29,6.37,,21.69811321,1
,,,,,,,,
Med,Control,21,162,31,3.86,,,2
,,,,,,,,
Med,Control,21,162,30,,,,
,,,,,,,,
Med,Control,21,163,41,8.47,,17.84386617,1
,,,,,,,,
Med,Control,21,163,33,5.39,,31.56934307,1
,,,,,,,,
Med,Control,21,163,31,5,,20.95238095,2
,,,,,,,,
Med,Control,22,164,31,6.91,15.76,25.16129032,1
,,,,,,,,
Med,Control,22,164,31,3.63,8.58,30.75630252,1
,,,,,,,,
Med,Control,22,164,29,2.87,12.27,32.04047218,2
,,,,,,,,
Med,Control,22,165,31,7.73,11.45,30.08264463,3
,,,,,,,,
Med,Control,22,165,26,6.24,9.81,27.73279352,2
,,,,,,,,
Med,Control,22,165,33,4.12,20.55,25.3634895,2
,,,,,,,,
Med,Control,22,166,26,6.86,9.92,39.03675539,1
,,,,,,,,
Med,Control,22,166,26,6.36,9.05,36.67763158,3
,,,,,,,,
Med,Control,22,166,26,6.35,11.43,36.63366337,3
,,,,,,,,
Med,Control,23,167,31,7.25,19.3,14.08227848,2
,,,,,,,,
Med,Control,23,167,37,6.32,15.17,36.6720517,2
,,,,,,,,
Med,Control,23,167,33,5.81,19.68,,2
,,,,,,,,
Med,Control,23,168,,,24.64,31.66953528,
,,,,,,,,
Med,Control,23,168,33,3.89,13.14,37.30407524,1
,,,,,,,,
Med,Control,23,168,35,2.15,24.7,,2
,,,,,,,,
Med,Control,23,169,31,5.51,,19.16058394,3
,,,,,,,,
Med,Control,23,169,33,4.59,,23.25203252,3
,,,,,,,,
Med,Control,23,169,37,7.09,,28.97350993,1
,,,,,,,,
Med,Control,24,170,24,5.53,12.92,39.47001395,4
,,,,,,,,
Med,Control,24,170,26,5.22,11.68,39.8763524,2
,,,,,,,,
Med,Control,24,170,26,8.12,7.06,40.26186579,
,,,,,,,,
Med,Control,24,171,30,3.76,15.89,32.27344992,2
,,,,,,,,
Med,Control,24,171,37,4.95,24.15,29.40275651,2
,,,,,,,,
Med,Control,24,171,36,4.76,17.26,29.04290429,1
,,,,,,,,
Med,Control,24,172,36,5.22,9.46,51.02040816,2
,,,,,,,,
Med,Control,24,172,26,7.78,9.57,39.15662651,2
,,,,,,,,
Med,Control,24,172,33,9.01,13.59,62.71186441,2
,,,,,,,,
Med,Control,25,173,31,4.89,16.3,27.59197324,2
,,,,,,,,
Med,Control,25,173,24,5.46,15.83,20.39355993,3
,,,,,,,,
Med,Control,25,173,31,6.58,18.12,28.74354561,2
,,,,,,,,
Med,Control,25,174,31,4.45,14.96,34.43708609,1
,,,,,,,,
Med,Control,25,174,36,6.25,9.32,46.49859944,
,,,,,,,,
Med,Control,25,174,31,4.3,16.45,40.38748137,
,,,,,,,,
Med,Control,25,175,33,5.65,13.97,17.94871795,1
,,,,,,,,
Med,Control,25,175,36,4.05,10.06,39.79381443,2
,,,,,,,,
Med,Control,25,175,36,6.12,7.45,24.7771836,2
,,,,,,,,
Med,Control,26,176,39,2.12,10.75,29.77707006,2
,,,,,,,,
Med,Control,26,176,24,4.59,20.97,47.74494557,2
,,,,,,,,
Med,Control,26,176,28,5.45,13.59,30.35714286,1
,,,,,,,,
Med,Control,26,177,29,6.7,6.34,35.04,4
,,,,,,,,
Med,Control,26,177,34,5.3,6.54,33.38414634,3
,,,,,,,,
Med,Control,26,177,33,2.79,17.12,25.28735632,2
,,,,,,,,
Med,Control,26,178,27,5.75,19.43,30.64770932,4
,,,,,,,,
Med,Control,26,178,30,6.84,24.73,37.01923077,3
,,,,,,,,
Med,Control,26,178,31,7.29,,50.18050542,4
,,,,,,,,
Med,Control,27,179,29,5.14,10.9,52.8150134,2
,,,,,,,,
Med,Control,27,179,31,6.48,16.68,36.64825046,2
,,,,,,,,
Med,Control,27,179,33,6.41,,,2
,,,,,,,,
Med,Control,27,180,23,5.07,7.6,31.54761905,3
,,,,,,,,
Med,Control,27,180,,,15.86,,
,,,,,,,,
Med,Control,27,180,,,6.61,,
,,,,,,,,
Med,Control,27,181,37,5.16,8.19,96.33507853,2
,,,,,,,,
Med,Control,27,181,39,5.47,9.17,37.19879518,2
,,,,,,,,
Med,Control,27,181,33,5.16,18.58,21.42857143,3
,,,,,,,,
Med,Control,28,182,39,,15.52,36.81241185,
,,,,,,,,
Med,Control,28,182,38,3.58,16.13,41.24293785,1
,,,,,,,,
Med,Control,28,182,37,3.43,11.97,33.84955752,1
,,,,,,,,
Med,Control,28,183,37,5.4,,35,
,,,,,,,,
Med,Control,28,183,37,4.72,,29.73395931,1
,,,,,,,,
Med,Control,28,183,29,6.14,,32.10272873,1
,,,,,,,,
Med,Control,28,184,37,2.35,,30.95577746,1
,,,,,,,,
Med,Control,28,184,37,4.26,,22.33429395,1
,,,,,,,,
Med,Control,28,184,31,6.85,,41.31274131,2
,,,,,,,,
Med,Control,29,185,,,19.78,22.35528942,
,,,,,,,,
Med,Control,29,185,,,20.73,,
,,,,,,,,
Med,Control,29,185,,,16.1,,
,,,,,,,,
Med,Control,29,186,39,8.38,17.29,22.61484099,
,,,,,,,,
Med,Control,29,186,40,4.58,11.26,21.23552124,
,,,,,,,,
Med,Control,29,186,43,10.54,15.15,24.84848485,
,,,,,,,,
Med,Control,29,187,34,10.5,16.96,29.36241611,
,,,,,,,,
Med,Control,29,187,32,5.72,13.89,28.90995261,
,,,,,,,,
Med,Control,29,187,33,7.1,,43.21148825,
,,,,,,,,
Med,Control,30,188,35,8.41,11.41,33.9869281,
,,,,,,,,
Med,Control,30,188,33,2.56,12.94,29.8136646,
,,,,,,,,
Med,Control,30,188,43,6.83,17.92,37.59873618,
,,,,,,,,
Med,Control,30,189,33,3.83,13.7,26.07313196,
,,,,,,,,
Med,Control,30,189,29,4.17,7.35,,
,,,,,,,,
Med,Control,30,189,26,3.46,,,
,,,,,,,,
Med,Control,30,190,33,3.95,14.11,60.9375,
,,,,,,,,
Med,Control,30,190,26,4.47,13.7,49.76525822,
,,,,,,,,
Med,Control,30,190,30,11.11,11.76,40.83333333,
,,,,,,,,
Med,Control,31,191,29,6.96,14.62,23.77495463,3
,,,,,,,,
Med,Control,31,191,29,8.05,,18.62527716,2
,,,,,,,,
Med,Control,31,191,27,9.34,,15.42553191,1
,,,,,,,,
Med,Control,31,192,,,11.61,,
,,,,,,,,
Med,Control,31,192,,,16.54,,
,,,,,,,,
Med,Control,31,192,,,16.46,,
,,,,,,,,
Med,Control,31,193,29,9.83,10.91,29.66101695,2
,,,,,,,,
Med,Control,31,193,39,5.73,16.26,27.74774775,2
,,,,,,,,
Med,Control,31,193,33,4.77,,35.90163934,3
,,,,,,,,
Med,Control,32,194,,,9.79,27.39726027,
,,,,,,,,
Med,Control,32,194,39,5.1,7.37,31.23993559,2
,,,,,,,,
Med,Control,32,194,33,5.19,11.26,,2
,,,,,,,,
Med,Control,32,195,26,2.65,11.77,31.05263158,
,,,,,,,,
Med,Control,32,195,27,4.92,13.24,39.57996769,1
,,,,,,,,
Med,Control,32,195,29,2.65,16.58,32.88461538,1
,,,,,,,,
Med,Control,32,196,27,8.12,12.33,31.56146179,1
,,,,,,,,
Med,Control,32,196,29,8.67,18.77,,1
,,,,,,,,
Med,Control,32,196,24,5.94,27.11,,1
,,,,,,,,
Med,Control,33,197,33,4.88,15.03,28.42535787,1
,,,,,,,,
Med,Control,33,197,33,4.91,17.28,34.6,1
,,,,,,,,
Med,Control,33,197,37,3.7,12.44,56.30434783,1
,,,,,,,,
Med,Control,33,198,31,4.29,27.22,33.3863275,0
,,,,,,,,
Med,Control,33,198,31,6.65,13.58,44.54713494,1
,,,,,,,,
Med,Control,33,198,25,5.09,11.93,48.5915493,
,,,,,,,,
Med,Control,33,199,33,4.89,16.38,44.22492401,
,,,,,,,,
Med,Control,33,199,35,3.57,13.54,65.42056075,1
,,,,,,,,
Med,Control,33,199,29,6.62,10.92,41.66666667,3
,,,,,,,,
Med,Control,34,200,36,4.88,8.84,12.15970962,
,,,,,,,,
Med,Control,34,200,39,10.8,9.76,10.37924152,1
,,,,,,,,
Med,Control,34,200,40,7.67,14.86,,3
,,,,,,,,
Med,Control,34,201,,,14.27,,
,,,,,,,,
Med,Control,34,201,,,10.8,,
,,,,,,,,
Med,Control,34,201,39,,13.4,,
,,,,,,,,
Med,Control,34,202,39,14.55,8.09,21.51898734,1
,,,,,,,,
Med,Control,34,202,38,5.21,8.77,38.0952381,2
,,,,,,,,
Med,Control,34,202,39,8.18,17.89,29.2721519,2
,,,,,,,,
Med,Control,35,203,35,6.55,10.43,29.00900901,1
,,,,,,,,
Med,Control,35,203,37,6.39,19.05,29.14171657,1
,,,,,,,,
Med,Control,35,203,37,7.85,17.07,41.34948097,0
,,,,,,,,
Med,Control,35,204,38,2.54,14.78,27.21202003,2
,,,,,,,,
Med,Control,35,204,29,4.74,20.89,43.79905808,1
,,,,,,,,
Med,Control,35,204,26,1.58,20.5,44.91725768,2
,,,,,,,,
Med,Control,35,205,29,6.37,20.84,33.13521545,1
,,,,,,,,
Med,Control,35,205,26,,18.23,30.93681917,
,,,,,,,,
Med,Control,35,205,29,5.36,,30.42671614,1
,,,,,,,,
Med,Control,36,206,27,7.65,7.31,10.84337349,2
,,,,,,,,
Med,Control,36,206,27,9.88,9.54,19.34900542,1
,,,,,,,,
Med,Control,36,206,22,5.05,5.52,20.87114338,1
,,,,,,,,
Med,Control,36,207,24,6.76,8.24,31.14186851,2
,,,,,,,,
Med,Control,36,207,24,4.48,8.07,,1
,,,,,,,,
Med,Control,36,207,26,5.9,5.89,,1
,,,,,,,,
Med,Control,36,208,31,4.72,7.71,39.43661972,2
,,,,,,,,
Med,Control,36,208,33,6.48,12.36,23.26139089,1
,,,,,,,,
Med,Control,36,208,26,4.58,7.86,20,3
,,,,,,,,
Med,Control,37,209,23,3.59,17.27,41.55069583,1
,,,,,,,,
Med,Control,37,209,33,4.95,16.19,41.88741722,2
,,,,,,,,
Med,Control,37,209,31,6.26,,,2
,,,,,,,,
Med,Control,37,210,22,2.8,19.95,48.16446402,3
,,,,,,,,
Med,Control,37,210,26,4.97,17.08,77.80821918,3
,,,,,,,,
Med,Control,37,210,37,9.52,,37.34375,
,,,,,,,,
Med,Control,37,211,,,17.48,,
,,,,,,,,
Med,Control,37,211,,,17.76,,
,,,,,,,,
Med,Control,37,211,,,14.48,,
,,,,,,,,
Med,Control,38,212,31,8.13,10.86,25,1
,,,,,,,,
Med,Control,38,212,31,6.35,20.23,37.10801394,1
,,,,,,,,
Med,Control,38,212,37,6.22,,38.28125,2
,,,,,,,,
Med,Control,38,213,,,11.37,,
,,,,,,,,
Med,Control,38,213,,,9.79,,
,,,,,,,,
Med,Control,38,213,,,7.77,,
,,,,,,,,
Med,Control,38,214,25,6.97,14.87,22.53521127,2
,,,,,,,,
Med,Control,38,214,24,7.39,19.72,39.07284768,2
,,,,,,,,
Med,Control,38,214,26,7.13,19.9,,2
,,,,,,,,
Med,Control,39,215,38,7.36,10.17,41.13060429,1
,,,,,,,,
Med,Control,39,215,23,,21.62,33.92857143,2
,,,,,,,,
Med,Control,39,215,26,8.98,15.14,42.76923077,1
,,,,,,,,
Med,Control,39,216,26,7.79,12.77,36.28318584,
,,,,,,,,
Med,Control,39,216,27,8.58,11.28,53.07517084,
,,,,,,,,
Med,Control,39,216,31,7.75,14.36,,3
,,,,,,,,
Med,Control,39,217,24,4.96,18.62,15.8172232,1
,,,,,,,,
Med,Control,39,217,23,4.89,20.29,26.84989429,2
,,,,,,,,
Med,Control,39,217,26,5.94,13.6,39.21259843,1
,,,,,,,,
Med,Control,40,218,26,2.86,13.96,11.00478469,2
,,,,,,,,
Med,Control,40,218,24,5.71,11.92,25.44861338,4
,,,,,,,,
Med,Control,40,218,25,3.09,11.51,33.92857143,
,,,,,,,,
Med,Control,40,219,,,,,
,,,,,,,,
Med,Control,40,219,,,,,
,,,,,,,,
Med,Control,40,219,,,,,
,,,,,,,,
Med,Control,40,220,,,18.94,,
,,,,,,,,
Med,Control,40,220,,,11.34,,
,,,,,,,,
Med,Control,40,220,,,13.9,,
,,,,,,,,
Med,Methyl jasmonate,21,161,38,4.07,19.2,39.21901528,3
,,,,,,,,
Med,Methyl jasmonate,21,161,39,4.44,15.39,55.92654424,2
,,,,,,,,
Med,Methyl jasmonate,21,161,33,5,17.42,62.10526316,3
,,,,,,,,
Med,Methyl jasmonate,21,162,44,6.28,19.42,55.19379845,
,,,,,,,,
Med,Methyl jasmonate,21,162,36,6.05,13.73,53.05785124,
,,,,,,,,
Med,Methyl jasmonate,21,162,34,2.46,,,
,,,,,,,,
Med,Methyl jasmonate,21,163,33,2.28,,50.23923445,3
,,,,,,,,
Med,Methyl jasmonate,21,163,33,3.26,,53.14787701,3
,,,,,,,,
Med,Methyl jasmonate,21,163,26,3.88,,47.67641997,3
,,,,,,,,
Med,Methyl jasmonate,22,164,33,7.23,,56.17021277,2
,,,,,,,,
Med,Methyl jasmonate,22,164,24,7.99,,48.71447903,2
,,,,,,,,
Med,Methyl jasmonate,22,164,33,4.94,,53.12934631,4
,,,,,,,,
Med,Methyl jasmonate,22,165,36,3.87,,69.73684211,4
,,,,,,,,
Med,Methyl jasmonate,22,165,42,2.5,,63.19327731,4
,,,,,,,,
Med,Methyl jasmonate,22,165,37,3.54,,64.11149826,4
,,,,,,,,
Med,Methyl jasmonate,22,166,31,5.23,11.32,63.03142329,4
,,,,,,,,
Med,Methyl jasmonate,22,166,36,4.5,16.6,,4
,,,,,,,,
Med,Methyl jasmonate,22,166,33,6.7,16.92,,5
,,,,,,,,
Med,Methyl jasmonate,23,167,33,6.36,17.25,59.2039801,4
,,,,,,,,
Med,Methyl jasmonate,23,167,33,5.26,19.32,62.34132581,
,,,,,,,,
Med,Methyl jasmonate,23,167,33,6.62,19,51.38211382,
,,,,,,,,
Med,Methyl jasmonate,23,168,33,3.65,18.4,59.30047695,3
,,,,,,,,
Med,Methyl jasmonate,23,168,24,3.3,15.31,58.37173579,3
,,,,,,,,
Med,Methyl jasmonate,23,168,33,4.19,11.62,52.44865719,4
,,,,,,,,
Med,Methyl jasmonate,23,169,33,4.6,18.53,77.58007117,4
,,,,,,,,
Med,Methyl jasmonate,23,169,33,,21.55,44.59930314,4
,,,,,,,,
Med,Methyl jasmonate,23,169,40,8.47,25.01,51.24113475,4
,,,,,,,,
Med,Methyl jasmonate,24,170,33,7.62,26.39,55.71428571,3
,,,,,,,,
Med,Methyl jasmonate,24,170,39,4.27,16.05,72.48322148,3
,,,,,,,,
Med,Methyl jasmonate,24,170,42,6.36,16,,3
,,,,,,,,
Med,Methyl jasmonate,24,171,29,5.58,19.35,82.54799302,2
,,,,,,,,
Med,Methyl jasmonate,24,171,39,10.98,45.91,36.1376673,2
,,,,,,,,
Med,Methyl jasmonate,24,171,37,3.4,28.21,53.51351351,2
,,,,,,,,
Med,Methyl jasmonate,24,172,44,10.99,17.78,50.93867334,3
,,,,,,,,
Med,Methyl jasmonate,24,172,40,6.97,19.19,69.80519481,1
,,,,,,,,
Med,Methyl jasmonate,24,172,33,7.74,15.8,,
,,,,,,,,
Med,Methyl jasmonate,25,173,39,4.19,21.28,38.90728477,4
,,,,,,,,
Med,Methyl jasmonate,25,173,31,1.85,15.48,32.78985507,4
,,,,,,,,
Med,Methyl jasmonate,25,173,36,1.6,20.05,,4
,,,,,,,,
Med,Methyl jasmonate,25,174,37,3.27,21.08,52.85326087,3
,,,,,,,,
Med,Methyl jasmonate,25,174,36,5.79,17.97,46.42857143,2
,,,,,,,,
Med,Methyl jasmonate,25,174,31,3.39,15.26,33.59621451,3
,,,,,,,,
Med,Methyl jasmonate,25,175,37,4.26,20.43,61.42857143,
,,,,,,,,
Med,Methyl jasmonate,25,175,31,4.32,26.93,55.61643836,
,,,,,,,,
Med,Methyl jasmonate,25,175,31,5.09,22.52,45.52845528,
,,,,,,,,
Med,Methyl jasmonate,26,176,26,6.47,24.29,77.49576988,3
,,,,,,,,
Med,Methyl jasmonate,26,176,31,0.73,40.98,69.90291262,2
,,,,,,,,
Med,Methyl jasmonate,26,176,33,4.27,36.96,,4
,,,,,,,,
Med,Methyl jasmonate,26,177,36,7.94,17.18,58.11965812,4
,,,,,,,,
Med,Methyl jasmonate,26,177,39,8.67,28.19,56.39229422,2
,,,,,,,,
Med,Methyl jasmonate,26,177,37,5.35,28.28,69.57364341,3
,,,,,,,,
Med,Methyl jasmonate,26,178,33,8.47,15.92,46.69051878,4
,,,,,,,,
Med,Methyl jasmonate,26,178,33,5.77,13.09,64.89361702,4
,,,,,,,,
Med,Methyl jasmonate,26,178,31,5.57,14.81,61.10154905,5
,,,,,,,,
Med,Methyl jasmonate,27,179,37,3.77,18.29,51.73410405,3
,,,,,,,,
Med,Methyl jasmonate,27,179,31,6.05,18.38,63.34913112,3
,,,,,,,,
Med,Methyl jasmonate,27,179,31,4.66,19.31,48.69565217,4
,,,,,,,,
Med,Methyl jasmonate,27,180,31,4.51,16.33,53.07486631,5
,,,,,,,,
Med,Methyl jasmonate,27,180,33,2.6,15.36,64.29567643,4
,,,,,,,,
Med,Methyl jasmonate,27,180,36,3.42,21.15,,4
,,,,,,,,
Med,Methyl jasmonate,27,181,37,5.79,20.98,57.96344648,4
,,,,,,,,
Med,Methyl jasmonate,27,181,33,2.81,25.4,57.32946299,4
,,,,,,,,
Med,Methyl jasmonate,27,181,36,4.77,27.03,50.98684211,4
,,,,,,,,
Med,Methyl jasmonate,28,182,39,4.49,17.32,68.20428336,1
,,,,,,,,
Med,Methyl jasmonate,28,182,31,6.67,21.66,70.49469965,4
,,,,,,,,
Med,Methyl jasmonate,28,182,33,2.81,,,4
,,,,,,,,
Med,Methyl jasmonate,28,183,46,5.8,,56.41952984,3
,,,,,,,,
Med,Methyl jasmonate,28,183,33,6.79,,,5
,,,,,,,,
Med,Methyl jasmonate,28,183,31,8.07,,,4
,,,,,,,,
Med,Methyl jasmonate,28,184,47,4.4,18.74,83.01526718,
,,,,,,,,
Med,Methyl jasmonate,28,184,39,5.32,18.4,57.28,4
,,,,,,,,
Med,Methyl jasmonate,28,184,36,7.6,21.5,,4
,,,,,,,,
Med,Methyl jasmonate,29,185,44,6.54,17.65,73.78472222,
,,,,,,,,
Med,Methyl jasmonate,29,185,31,6.66,15.03,70.87827427,
,,,,,,,,
Med,Methyl jasmonate,29,185,32,5.52,,,
,,,,,,,,
Med,Methyl jasmonate,29,186,37,1.59,12.38,57.79816514,
,,,,,,,,
Med,Methyl jasmonate,29,186,37,5.66,15.94,57.5562701,
,,,,,,,,
Med,Methyl jasmonate,29,186,39,5.01,15.97,56.62847791,
,,,,,,,,
Med,Methyl jasmonate,29,187,42,4.38,15.82,53.85802469,3
,,,,,,,,
Med,Methyl jasmonate,29,187,42,6.2,33.02,75.58922559,2
,,,,,,,,
Med,Methyl jasmonate,29,187,33,2.48,24.21,54.25361156,3
,,,,,,,,
Med,Methyl jasmonate,30,188,39,8.49,21.87,52,3
,,,,,,,,
Med,Methyl jasmonate,30,188,39,8.98,30.51,52.98245614,3
,,,,,,,,
Med,Methyl jasmonate,30,188,49,5,31.26,59.83050847,3
,,,,,,,,
Med,Methyl jasmonate,30,189,39,5.41,24.91,58.64661654,3
,,,,,,,,
Med,Methyl jasmonate,30,189,45,8.25,22.45,,3
,,,,,,,,
Med,Methyl jasmonate,30,189,33,2.04,10.53,,3
,,,,,,,,
Med,Methyl jasmonate,30,190,31,6.26,18.53,68.97546898,
,,,,,,,,
Med,Methyl jasmonate,30,190,24,5.16,15.65,69.40836941,
,,,,,,,,
Med,Methyl jasmonate,30,190,31,7.16,20.84,67.29452055,
,,,,,,,,
Med,Methyl jasmonate,31,191,38,3.38,13.77,62.65912306,5
,,,,,,,,
Med,Methyl jasmonate,31,191,26,6.55,12.21,66.48122392,5
,,,,,,,,
Med,Methyl jasmonate,31,191,31,5.23,18.79,65,4
,,,,,,,,
Med,Methyl jasmonate,31,192,,,17.99,70.14925373,
,,,,,,,,
Med,Methyl jasmonate,31,192,,,9.56,,
,,,,,,,,
Med,Methyl jasmonate,31,192,,,17.34,,
,,,,,,,,
Med,Methyl jasmonate,31,193,31,5.91,32.41,63.11953353,3
,,,,,,,,
Med,Methyl jasmonate,31,193,31,3.7,27.6,49.08062235,4
,,,,,,,,
Med,Methyl jasmonate,31,193,33,3.86,30.97,64.22764228,3
,,,,,,,,
Med,Methyl jasmonate,32,194,33,3.31,9.72,56.46853147,4
,,,,,,,,
Med,Methyl jasmonate,32,194,45,8.53,22.86,52.81803543,5
,,,,,,,,
Med,Methyl jasmonate,32,194,45,6.93,17.74,49.77711738,2
,,,,,,,,
Med,Methyl jasmonate,32,195,37,6.62,18.93,27.1331058,
,,,,,,,,
Med,Methyl jasmonate,32,195,35,4.3,32.67,45.9807074,
,,,,,,,,
Med,Methyl jasmonate,32,195,43,3.83,12.19,,
,,,,,,,,
Med,Methyl jasmonate,32,196,31,5.84,19.92,44.07294833,4
,,,,,,,,
Med,Methyl jasmonate,32,196,31,5.45,18.09,29.12801484,4
,,,,,,,,
Med,Methyl jasmonate,32,196,36,6.94,17.79,70.03012048,4
,,,,,,,,
Med,Methyl jasmonate,33,197,37,5.05,24.54,59.75103734,3
,,,,,,,,
Med,Methyl jasmonate,33,197,39,8.96,9.43,63.05732484,2
,,,,,,,,
Med,Methyl jasmonate,33,197,29,6.1,9.77,67.85137318,2
,,,,,,,,
Med,Methyl jasmonate,33,198,31,8.94,18.84,50.39494471,3
,,,,,,,,
Med,Methyl jasmonate,33,198,29,5.4,23.74,72.0190779,3
,,,,,,,,
Med,Methyl jasmonate,33,198,33,9.41,15.1,58.5483871,3
,,,,,,,,
Med,Methyl jasmonate,33,199,31,6.97,26.2,59.12897822,3
,,,,,,,,
Med,Methyl jasmonate,33,199,29,4.14,16.66,87.40310078,3
,,,,,,,,
Med,Methyl jasmonate,33,199,33,6.7,42.41,,4
,,,,,,,,
Med,Methyl jasmonate,34,200,33,3.81,14.13,34.33395872,
,,,,,,,,
Med,Methyl jasmonate,34,200,39,7.49,30.97,51.61290323,3
,,,,,,,,
Med,Methyl jasmonate,34,200,36,2.82,,31.26177024,2
,,,,,,,,
Med,Methyl jasmonate,34,201,31,3.73,27.48,50.08944544,3
,,,,,,,,
Med,Methyl jasmonate,34,201,31,2.85,23.8,55.29010239,4
,,,,,,,,
Med,Methyl jasmonate,34,201,,,18.04,56.82593857,
,,,,,,,,
Med,Methyl jasmonate,34,202,29,7.12,22.66,39.96247655,1
,,,,,,,,
Med,Methyl jasmonate,34,202,33,4.75,16.51,41.24783362,2
,,,,,,,,
Med,Methyl jasmonate,34,202,24,7.88,24.4,59.6214511,3
,,,,,,,,
Med,Methyl jasmonate,35,203,29,6.49,22.19,73.79310345,2
,,,,,,,,
Med,Methyl jasmonate,35,203,29,8,11.6,85.88957055,2
,,,,,,,,
Med,Methyl jasmonate,35,203,33,3.84,25.59,80.33794163,2
,,,,,,,,
Med,Methyl jasmonate,35,204,37,8.09,20.27,55.73248408,3
,,,,,,,,
Med,Methyl jasmonate,35,204,31,6.07,14.7,60.22727273,4
,,,,,,,,
Med,Methyl jasmonate,35,204,33,7.65,11.53,53.12,3
,,,,,,,,
Med,Methyl jasmonate,35,205,29,3.74,,60.39735099,
,,,,,,,,
Med,Methyl jasmonate,35,205,26,4.96,,50,3
,,,,,,,,
Med,Methyl jasmonate,35,205,36,4.47,,38.51351351,4
,,,,,,,,
Med,Methyl jasmonate,36,206,22,5.03,,30.53691275,
,,,,,,,,
Med,Methyl jasmonate,36,206,31,7.46,,34.76702509,
,,,,,,,,
Med,Methyl jasmonate,36,206,22,6.64,,,
,,,,,,,,
Med,Methyl jasmonate,36,207,31,8.98,,49.6742671,
,,,,,,,,
Med,Methyl jasmonate,36,207,31,4.68,,41.71348315,
,,,,,,,,
Med,Methyl jasmonate,36,207,29,9.09,,52.81837161,
,,,,,,,,
Med,Methyl jasmonate,36,208,19,5.52,16.89,48.53479853,
,,,,,,,,
Med,Methyl jasmonate,36,208,29,5.01,17.49,50.66864785,
,,,,,,,,
Med,Methyl jasmonate,36,208,19,3.93,18.38,,
,,,,,,,,
Med,Methyl jasmonate,37,209,29,5.9,15.21,86.09467456,4
,,,,,,,,
Med,Methyl jasmonate,37,209,31,2.85,6.66,49.37888199,4
,,,,,,,,
Med,Methyl jasmonate,37,209,31,4.08,22.84,64.89071038,4
,,,,,,,,
Med,Methyl jasmonate,37,210,,5.4,17.25,64.65638149,5
,,,,,,,,
Med,Methyl jasmonate,37,210,33,2.47,13.24,62.92993631,4
,,,,,,,,
Med,Methyl jasmonate,37,210,31,7.06,19.07,57.40223464,5
,,,,,,,,
Med,Methyl jasmonate,37,211,,,15.61,,
,,,,,,,,
Med,Methyl jasmonate,37,211,,,12.17,,
,,,,,,,,
Med,Methyl jasmonate,37,211,,,28.33,,
,,,,,,,,
Med,Methyl jasmonate,38,212,24,5.75,25.53,47.80487805,2
,,,,,,,,
Med,Methyl jasmonate,38,212,31,6.91,31.87,50,2
,,,,,,,,
Med,Methyl jasmonate,38,212,33,6,22.93,,3
,,,,,,,,
Med,Methyl jasmonate,38,213,,,14.23,,
,,,,,,,,
Med,Methyl jasmonate,38,213,,,27.49,,
,,,,,,,,
Med,Methyl jasmonate,38,213,,,14.52,,
,,,,,,,,
Med,Methyl jasmonate,38,214,24,3.1,15.86,29.96031746,3
,,,,,,,,
Med,Methyl jasmonate,38,214,24,3.83,,25.34482759,4
,,,,,,,,
Med,Methyl jasmonate,38,214,33,7.24,,50,3
,,,,,,,,
Med,Methyl jasmonate,39,215,33,13.2,34.08,48.0733945,2
,,,,,,,,
Med,Methyl jasmonate,39,215,39,4.92,22.03,28.52459016,2
,,,,,,,,
Med,Methyl jasmonate,39,215,31,7.23,,,5
,,,,,,,,
Med,Methyl jasmonate,39,216,33,7.65,20.93,59.08221797,4
,,,,,,,,
Med,Methyl jasmonate,39,216,24,6.36,17.17,,4
,,,,,,,,
Med,Methyl jasmonate,39,216,33,6.94,30.65,,4
,,,,,,,,
Med,Methyl jasmonate,39,217,24,4.84,14.16,46.11486486,3
,,,,,,,,
Med,Methyl jasmonate,39,217,31,7.47,10.28,33.70577281,3
,,,,,,,,
